layer,site,format,k,n,weight_offset,weight_bytes,e_api,c_api,c_grid_x,c_threads_x,c_threads_y,common_a_offset,common_a_bytes
37,4,q8_0,8192,4096,85198791232,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,85163139648,35651584
37,5,f16,16384,24,85304207136,786432,matmul_f16,exact_smallm,12,32,8,0,0
37,6,f16,4096,256,85274568256,2097152,matmul_f16,exact_smallm,128,32,8,0,0
38,0,f16,16384,24,85485794976,786432,matmul_f16,exact_smallm,12,32,8,0,0
38,1,q8_0,4096,1024,85416817216,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
38,2,q8_0,4096,512,85343285824,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
38,3,q8_0,1024,32768,85421273664,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
38,4,q8_0,8192,4096,85381165632,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,85345514048,35651584
38,5,f16,16384,24,85486581536,786432,matmul_f16,exact_smallm,12,32,8,0,0
38,6,f16,4096,256,85456942656,2097152,matmul_f16,exact_smallm,128,32,8,0,0
39,0,f16,16384,24,85638405280,786432,matmul_f16,exact_smallm,12,32,8,0,0
39,1,q8_0,4096,1024,85569427520,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
39,2,q8_0,4096,512,85495896128,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
39,3,q8_0,1024,32768,85573883968,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
39,4,q8_0,8192,4096,85533775936,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,85498124352,35651584
