layer,site,format,corpus,m,k,n,input_hash_ds4_64,candidate_dispatches,grid_y,bit_diffs,first_index,first_ref_bits,first_got_bits,max_abs,result
7,0,f16,C5,3,16384,24,a0387cab6d6ac2eb,1,1,0,-1,00000000,00000000,0,PASS
7,0,f16,C5,4,16384,24,c2954e63e21b939e,1,1,0,-1,00000000,00000000,0,PASS
7,1,q8_0,C5,2,4096,1024,9325b254eb2a746a,1,1,0,-1,00000000,00000000,0,PASS
7,1,q8_0,C5,3,4096,1024,d04797cedf89cfd7,1,1,0,-1,00000000,00000000,0,PASS
7,1,q8_0,C5,4,4096,1024,9afa48bac2c3c9e9,1,1,0,-1,00000000,00000000,0,PASS
7,2,q8_0,C5,2,4096,512,9325b254eb2a746a,1,1,0,-1,00000000,00000000,0,PASS
7,2,q8_0,C5,3,4096,512,d04797cedf89cfd7,1,1,0,-1,00000000,00000000,0,PASS
7,2,q8_0,C5,4,4096,512,9afa48bac2c3c9e9,1,1,0,-1,00000000,00000000,0,PASS
7,3,q8_0,C5,2,1024,32768,384f6e53ea83770f,1,1,0,-1,00000000,00000000,0,PASS
7,3,q8_0,C5,3,1024,32768,38855bad5f8b2d23,1,1,0,-1,00000000,00000000,0,PASS
7,3,q8_0,C5,4,1024,32768,abf3a893d250a730,1,1,0,-1,00000000,00000000,0,PASS
7,4,q8_0,C5,2,8192,4096,29f9079cdaaa6a6e,1,1,0,-1,00000000,00000000,0,PASS
7,4,q8_0,C5,3,8192,4096,8ba3dbafe54a8cca,1,1,0,-1,00000000,00000000,0,PASS
7,4,q8_0,C5,4,8192,4096,b917f30501bd467c,1,1,0,-1,00000000,00000000,0,PASS
7,5,f16,C5,2,16384,24,0b802b7e5746eea7,1,1,0,-1,00000000,00000000,0,PASS
7,5,f16,C5,3,16384,24,1966be3b756d5c46,1,1,0,-1,00000000,00000000,0,PASS
7,5,f16,C5,4,16384,24,c2b5f256fc26e6e4,1,1,0,-1,00000000,00000000,0,PASS
7,6,f16,C5,2,4096,256,3ed37ad44eca5399,1,1,0,-1,00000000,00000000,0,PASS
7,6,f16,C5,3,4096,256,8fbd038951384e6c,1,1,0,-1,00000000,00000000,0,PASS
7,6,f16,C5,4,4096,256,c813345677fc774b,1,1,0,-1,00000000,00000000,0,PASS
8,0,f16,C5,2,16384,24,b498874c0b15decf,1,1,0,-1,00000000,00000000,0,PASS
8,0,f16,C5,3,16384,24,b30d0635a5b564ed,1,1,0,-1,00000000,00000000,0,PASS
8,0,f16,C5,4,16384,24,ed4fcfe781a59d04,1,1,0,-1,00000000,00000000,0,PASS
8,1,q8_0,C5,2,4096,1024,fecf66105b6fbfb5,1,1,0,-1,00000000,00000000,0,PASS
8,1,q8_0,C5,3,4096,1024,8e6479e750e617d7,1,1,0,-1,00000000,00000000,0,PASS
8,1,q8_0,C5,4,4096,1024,39fe0e7c1f556774,1,1,0,-1,00000000,00000000,0,PASS
8,2,q8_0,C5,2,4096,512,fecf66105b6fbfb5,1,1,0,-1,00000000,00000000,0,PASS
8,2,q8_0,C5,3,4096,512,8e6479e750e617d7,1,1,0,-1,00000000,00000000,0,PASS
8,2,q8_0,C5,4,4096,512,39fe0e7c1f556774,1,1,0,-1,00000000,00000000,0,PASS
8,3,q8_0,C5,2,1024,32768,a53c7eb6a270babe,1,1,0,-1,00000000,00000000,0,PASS
8,3,q8_0,C5,3,1024,32768,43ee391ef1e6742c,1,1,0,-1,00000000,00000000,0,PASS
8,3,q8_0,C5,4,1024,32768,e22b20b2aaf9008d,1,1,0,-1,00000000,00000000,0,PASS
8,4,q8_0,C5,2,8192,4096,e4306ee746318017,1,1,0,-1,00000000,00000000,0,PASS
8,4,q8_0,C5,3,8192,4096,1b0042391d198093,1,1,0,-1,00000000,00000000,0,PASS
8,4,q8_0,C5,4,8192,4096,ff6ff8145351b375,1,1,0,-1,00000000,00000000,0,PASS
8,5,f16,C5,2,16384,24,27aa986aea50d586,1,1,0,-1,00000000,00000000,0,PASS
8,5,f16,C5,3,16384,24,a3d28e4000c4681f,1,1,0,-1,00000000,00000000,0,PASS
8,5,f16,C5,4,16384,24,600cfeccd7dc0f83,1,1,0,-1,00000000,00000000,0,PASS
8,6,f16,C5,2,4096,256,fa1fd674819fd272,1,1,0,-1,00000000,00000000,0,PASS
8,6,f16,C5,3,4096,256,78a2c64bd002add8,1,1,0,-1,00000000,00000000,0,PASS
8,6,f16,C5,4,4096,256,2889ed1a53571d83,1,1,0,-1,00000000,00000000,0,PASS
9,0,f16,C5,2,16384,24,e7d3ccf0a7867736,1,1,0,-1,00000000,00000000,0,PASS
9,0,f16,C5,3,16384,24,0e086b59f605b927,1,1,0,-1,00000000,00000000,0,PASS
9,0,f16,C5,4,16384,24,c558d6b021e90b77,1,1,0,-1,00000000,00000000,0,PASS
9,1,q8_0,C5,2,4096,1024,ed98ab271ead1c01,1,1,0,-1,00000000,00000000,0,PASS
9,1,q8_0,C5,3,4096,1024,acb6a9cb89a33324,1,1,0,-1,00000000,00000000,0,PASS
9,1,q8_0,C5,4,4096,1024,1b9745ad8d0f5de4,1,1,0,-1,00000000,00000000,0,PASS
9,2,q8_0,C5,2,4096,512,ed98ab271ead1c01,1,1,0,-1,00000000,00000000,0,PASS
9,2,q8_0,C5,3,4096,512,acb6a9cb89a33324,1,1,0,-1,00000000,00000000,0,PASS
9,2,q8_0,C5,4,4096,512,1b9745ad8d0f5de4,1,1,0,-1,00000000,00000000,0,PASS
9,3,q8_0,C5,2,1024,32768,b2082897e2539826,1,1,0,-1,00000000,00000000,0,PASS
9,3,q8_0,C5,3,1024,32768,60a3c00a07534cff,1,1,0,-1,00000000,00000000,0,PASS
9,3,q8_0,C5,4,1024,32768,dff06ccdae0a3f5f,1,1,0,-1,00000000,00000000,0,PASS
9,4,q8_0,C5,2,8192,4096,15413dc359c0f246,1,1,0,-1,00000000,00000000,0,PASS
9,4,q8_0,C5,3,8192,4096,a425d01da2b73e7b,1,1,0,-1,00000000,00000000,0,PASS
9,4,q8_0,C5,4,8192,4096,5b020f024197787c,1,1,0,-1,00000000,00000000,0,PASS
9,5,f16,C5,2,16384,24,072e0a0bddd87675,1,1,0,-1,00000000,00000000,0,PASS
9,5,f16,C5,3,16384,24,3ac11d631f9f53d9,1,1,0,-1,00000000,00000000,0,PASS
9,5,f16,C5,4,16384,24,01dc188db587a24d,1,1,0,-1,00000000,00000000,0,PASS
9,6,f16,C5,2,4096,256,03fc98d283db6d4c,1,1,0,-1,00000000,00000000,0,PASS
9,6,f16,C5,3,4096,256,8e8569520d05f4a9,1,1,0,-1,00000000,00000000,0,PASS
9,6,f16,C5,4,4096,256,eeb0f852525038e3,1,1,0,-1,00000000,00000000,0,PASS
10,0,f16,C5,2,16384,24,59a51a1758bc849e,1,1,0,-1,00000000,00000000,0,PASS
10,0,f16,C5,3,16384,24,ac1e8cbf0ad3dd40,1,1,0,-1,00000000,00000000,0,PASS
10,0,f16,C5,4,16384,24,b7106ff782f9a766,1,1,0,-1,00000000,00000000,0,PASS
10,1,q8_0,C5,2,4096,1024,4fce818bebfaa343,1,1,0,-1,00000000,00000000,0,PASS
